	# Species	Genes	Genuses	Genes_with_ZDNA	Max ZH-Score	Mean ZH-Score	Function
2830	37	38	8	1	13939.35	13939.35	Deaminated glutathione amidase
2836	37	38	8	1	1078.193	1078.193	Duf523 and duf1722 domain-containing protein
2912	37	41	8	1	1008.605	1008.605	Extracellular solute-binding protein
203	36	39	8	1	2183.574	2183.574	Pyridoxal kinase pdxy
380	36	39	9	1	2659.79	2659.79	Na+/h+ antiporter
517	36	37	10	1	980.8116	980.8116	Lysr family transcriptional regulator
617	36	39	8	1	766.6232	766.6232	4-alpha-glucanotransferase
1426	36	40	8	1	974.177	974.177	Abc transporter atp-binding protein
1782	36	40	9	1	1138.993	1138.993	Fdhf/ydep family oxidoreductase
2265	36	40	8	1	883.5764	883.5764	Glutamine amidotransferase
2351	36	37	9	1	13713.99	13713.99	Lipid iv(a) 4-amino-4-deoxy-l-arabinosyltransferase
2647	36	46	9	1	1915.432	1915.432	Mfs transporter
2756	36	38	8	1	546.8554	546.8554	Zn(ii)/cd(ii)/pb(ii) translocating p-type atpase znta
2892	36	37	8	1	3135.789	3135.789	Aminodeoxychorismate synthase component 1
2446	35	41	8	1	1248.717	1248.717	Hth-type transcriptional activator aaer
2487	35	41	9	1	2752.447	2752.447	Flagellar basal body rod protein flgc
3061	35	36	8	1	13713.99	13713.99	High-affinity branched-chain amino acid abc transporter atp-binding protein livg
3167	35	46	8	1	766.6232	766.6232	Cytochrome ubiquinol oxidase subunit i
3471	35	39	9	1	875.0314	875.0314	Pqq-dependent sugar dehydrogenase
993	34	37	9	1	883.5764	883.5764	Ketopantoate/pantoate/pantothenate transporter pans
1084	34	37	8	1	826.2209	826.2209	Arginine abc transporter substrate-binding protein
1198	34	36	8	1	883.5764	883.5764	Glutamine abc transporter permease glnp
1347	34	45	9	1	783.823	783.823	Abc transporter atp-binding protein
1680	34	35	9	1	3428.529	3428.529	Dtdp-4-dehydrorhamnose 3,5-epimerase
2306	34	36	8	1	883.5764	883.5764	Cardiolipin synthase clsb
2852	34	36	8	1	739.95	739.95	Flagellar filament capping protein flid
3118	34	37	9	1	2752.447	2752.447	Multidrug abc transporter permease/atp-binding protein
3453	34	35	8	1	13713.99	13713.99	Nadp-dependent oxidoreductase
3550	34	36	8	1	650.9198	650.9198	Phosphonate abc transporter atp-binding protein
3606	34	35	8	1	904.32	904.32	Duf488 family protein
89	33	52	8	1	883.5764	883.5764	Cold-shock protein
176	33	34	7	1	883.5764	883.5764	Heme lyase ccmf/nrfe family subunit
1755	33	35	8	1	2752.447	2752.447	Alpha,alpha-phosphotrehalase
2655	33	39	9	1	908.3955	908.3955	Flagellar motor switch protein flin
2996	33	35	7	1	883.5764	883.5764	Gntr family transcriptional regulator
3051	33	44	8	1	783.823	783.823	Peptidylprolyl isomerase
3082	33	34	8	1	1430.8	1430.8	Flagellar export chaperone flis
6748	33	34	9	1	2183.574	2183.574	Fe(3+)-hydroxamate abc transporter permease fhub
6799	33	34	7	1	980.8116	980.8116	N-acetylglucosamine-specific pts transporter subunit iibc
618	32	34	7	1	883.5764	883.5764	Maltodextrin phosphorylase
1357	32	33	7	1	2752.447	2752.447	Amino acid abc transporter substrate-binding protein
3018	32	40	8	1	1737.612	1737.612	Amino acid permease
3131	32	33	8	1	2659.79	2659.79	Guanine deaminase
3210	32	38	7	1	4876.735	4876.735	Abc transporter atp-binding protein
3405	32	35	7	1	2752.447	2752.447	Flavorubredoxin reductase norw
5816	32	37	7	1	2183.574	2183.574	Hi1450 family dsdna-mimic protein
5829	32	37	9	1	27872.66	27872.66	Kinase inhibitor
6109	32	34	7	1	1202.592	1202.592	Galactose-1-phosphate uridylyltransferase
6156	32	36	7	1	3428.529	3428.529	Glucose-1-phosphate adenylyltransferase
6284	32	40	7	1	612.3848	612.3848	Ai-2e family transporter
6784	32	34	9	1	13713.99	13713.99	Enterobactin non-ribosomal peptide synthetase entf
6809	32	34	7	1	1820.585	1820.585	Galactokinase
1670	31	34	8	1	712.187	712.187	Glsb/yeaq/ymge family stress response membrane protein
1744	31	43	8	1	4615.4	4615.4	Efflux transporter outer membrane subunit
2377	31	33	8	1	3428.529	3428.529	Arylamine n-acetyltransferase
3693	31	39	9	1	948.8341	948.8341	Type vi secretion system baseplate subunit tssk
4508	31	48	8	1	883.5764	883.5764	Dimethylsulfoxide reductase subunit b
6248	31	39	8	1	883.5764	883.5764	Luxr family transcriptional regulator
156	30	32	9	1	826.2209	826.2209	Nad(p)h-dependent oxidoreductase
900	30	37	8	1	7973.084	7973.084	Carbamate kinase
1582	30	31	8	1	883.5764	883.5764	Iron-enterobactin abc transporter permease
1789	30	33	8	1	883.5764	883.5764	Efflux rnd transporter permease subunit
2701	30	37	8	1	783.823	783.823	Chemotaxis protein chew
2804	30	39	7	1	13713.99	13713.99	Ygdi/ygdr family lipoprotein
2877	30	55	7	1	826.2209	826.2209	Pas domain-containing methyl-accepting chemotaxis protein
2921	30	31	8	1	4750.184	4750.184	Arac family transcriptional regulator
3489	30	32	8	1	3428.529	3428.529	Nitrate abc transporter permease
5179	30	32	7	1	608.4057	608.4057	Sugar phosphatase
6241	30	31	7	1	783.823	783.823	Ncs2 family permease
6854	30	44	8	1	1430.8	1430.8	Translesion error-prone dna polymerase v subunit umuc
1973	29	32	7	1	980.8116	980.8116	Tartrate dehydrogenase
2098	29	33	9	1	5485.32	5485.32	Abc transporter atp-binding protein
2263	29	33	6	1	3858.662	3858.662	4-hydroxyphenylpyruvate dioxygenase
2471	29	32	9	1	766.6232	766.6232	Chemotaxis response regulator chey
2675	29	30	7	1	3428.529	3428.529	Duf2867 domain-containing protein
2750	29	31	9	1	883.5764	883.5764	Hth-type transcriptional activator rhas
2806	29	32	7	1	505.8732	505.8732	Flavin reductase family protein
2926	29	39	6	1	3428.529	3428.529	Chemotaxis protein chev
3962	29	31	7	1	736.1451	736.1451	Phosphonate abc transporter, permease protein phne
10210	29	30	10	1	980.8116	980.8116	Superoxide dismutase family protein
943	28	33	7	1	13713.99	13713.99	Lema family protein
1221	28	31	9	1	2015.61	2015.61	Shlb/fhac/hecb family hemolysin secretion/activation protein
1362	28	34	8	1	735.0619	735.0619	Lactaldehyde reductase
1454	28	30	8	1	974.177	974.177	Sugar transporter
1645	28	29	8	1	742.1338	742.1338	Choline dehydrogenase
2781	28	30	8	1	27872.66	27872.66	Dyp-type peroxidase
2962	28	31	8	1	908.3955	908.3955	Mbth family nrps accessory protein
3124	28	29	7	1	1964.835	1964.835	Ethanolamine permease
6563	28	29	6	1	3428.529	3428.529	Cystathionine beta-lyase
322	27	29	8	1	883.5764	883.5764	Hydroxypyruvate isomerase
625	27	30	10	1	2541.412	2541.412	Type i restriction-modification system subunit m
792	27	29	7	1	883.5764	883.5764	Homoserine o-acetyltransferase
837	27	31	8	1	28780.5	28780.5	Phage baseplate assembly protein v
1246	27	29	9	1	2752.447	2752.447	Coa transferase subunit b
2089	27	30	8	1	980.8116	980.8116	Type ii secretion system atpase gspe
2341	27	29	9	1	2524.967	2524.967	Efflux rnd transporter periplasmic adaptor subunit
2430	27	33	9	1	883.5764	883.5764	Lysr family transcriptional regulator
2521	27	35	8	1	783.823	783.823	Hydrolase
2809	27	32	8	1	883.5764	883.5764	Tetr/acrr family transcriptional regulator
3069	27	29	7	1	1430.8	1430.8	Methyl-accepting chemotaxis protein
3426	27	28	8	1	712.187	712.187	Merr family transcriptional regulator
3685	27	31	7	1	883.5764	883.5764	Duf1090 domain-containing protein
4068	27	36	7	1	785.5658	785.5658	Hlyd family secretion protein
6427	27	30	7	1	1273.964	1273.964	Manganese efflux pump mntp
7137	27	30	7	1	883.5764	883.5764	Myo-inosose-2 dehydratase
9410	27	31	9	1	10616.46	10616.46	Phage tail assembly protein
842	26	30	9	1	883.5764	883.5764	Phage major tail tube protein
1440	26	31	8	1	3428.529	3428.529	Dmt family transporter
1846	26	28	9	1	818.2755	818.2755	Tetr/acrr family transcriptional regulator
2378	26	31	9	1	3428.529	3428.529	Sdr family oxidoreductase
3059	26	27	6	1	4876.735	4876.735	Plp-dependent aminotransferase family protein
3240	26	27	7	1	1201.671	1201.671	Betaine-aldehyde dehydrogenase
3242	26	27	9	1	904.32	904.32	Murr/rpir family transcriptional regulator
6626	26	28	8	1	27872.66	27872.66	Glycoside hydrolase family 31 protein
1373	25	26	8	1	13713.99	13713.99	Ybak/prolyl-trna synthetase associated domain-containing protein
1916	25	26	6	1	3713.33	3713.33	Gfa family protein
2818	25	26	5	1	3174.797	3174.797	Phosphate abc transporter substrate-binding protein psts family protein
2914	25	28	9	1	2752.447	2752.447	Isochorismatase family protein
2969	25	26	5	1	1138.993	1138.993	Phosphate abc transporter permease psta
3177	25	45	6	1	1202.592	1202.592	Flagellin flic
4088	25	30	9	1	883.5764	883.5764	Marr family transcriptional regulator
7038	25	27	7	1	883.5764	883.5764	Type ii secretion system minor pseudopilin gspi
9417	25	32	9	1	3428.529	3428.529	Gpe family phage tail protein
10240	25	26	7	1	27872.66	27872.66	M4 family metallopeptidase
56	49	49	10	0			Argininosuccinate lyase
57	49	49	10	0			Trna 2-thiouridine(34) synthase mnma
74	49	49	10	0			Uroporphyrinogen decarboxylase
76	49	49	10	0			5-formyltetrahydrofolate cyclo-ligase
85	49	50	10	0			Recombination-associated protein rdgc
90	49	49	10	0			Carboxy terminal-processing peptidase
95	49	49	10	0			Bifunctional riboflavin kinase/fad synthetase
96	49	49	10	0			Isoleucine--trna ligase
100	49	49	10	0			Peptide chain release factor 3
106	49	49	10	0			Ribose-5-phosphate isomerase rpia
108	49	52	10	0			Threonine ammonia-lyase, biosynthetic
110	49	49	10	0			Rna polymerase sigma factor rpod
111	49	49	10	0			Dna primase
123	49	49	10	0			Trna (n6-isopentenyl adenosine(37)-c2)-methylthiotransferase miab
126	49	49	10	0			Type i methionyl aminopeptidase
131	49	49	10	0			Ubiquinone biosynthesis regulatory protein kinase ubib
136	49	49	10	0			Dna utilization protein gntx
140	49	49	10	0			Acp s-malonyltransferase
147	49	49	10	0			Dna mismatch repair endonuclease mutl
149	49	49	10	0			Gtpase hflx
161	49	49	10	0			Dna repair protein radc
168	49	49	10	0			Udp-n-acetylmuramate dehydrogenase
169	49	49	10	0			Bifunctional biotin--
174	49	49	10	0			Arginine--trna ligase
175	49	49	10	0			Obg family gtpase cgta
186	49	49	10	0			Lipid-a-disaccharide synthase
194	49	49	10	0			Exodeoxyribonuclease v subunit gamma
198	49	49	10	0			Membrane protein insertase yidc
214	49	49	10	0			Tyrosine recombinase xerc
215	49	49	10	0			Glycine--trna ligase subunit beta
223	49	49	10	0			Fad-dependent 2-octaprenylphenol hydroxylase
253	49	49	10	0			Metalloprotease tldd
260	49	49	10	0			Murein biosynthesis integral membrane protein murj
265	49	49	10	0			Lipoyl(octanoyl) transferase lipb
267	49	49	10	0			Rod shape-determining protein roda
278	49	49	10	0			Site-specific tyrosine recombinase xerd
290	49	49	10	0			Trna uridine-5-carboxymethylaminomethyl(34) synthesis enzyme mnmg
293	49	49	10	0			Atp-dependent dna helicase recg
295	49	49	10	0			Proline--trna ligase
335	49	49	10	0			A/g-specific adenine glycosylase
338	49	49	10	0			Hslu--hslv peptidase atpase subunit
345	49	49	10	0			Dna-processing protein dpra
352	49	49	10	0			Glutamate-1-semialdehyde 2,1-aminomutase
354	49	49	10	0			Udp-2,3-diacylglucosamine diphosphatase
363	49	52	10	0			Prolipoprotein diacylglyceryl transferase
376	49	49	10	0			23s rrna pseudouridine(955/2504/2580) synthase rluc
377	49	49	10	0			Dihydropteroate synthase
378	49	49	10	0			Arsc family reductase
379	49	49	10	0			Succinyl-diaminopimelate desuccinylase
401	49	52	10	0			Molybdenum cofactor guanylyltransferase moba
418	49	49	10	0			Trna pseudouridine(13) synthase trud
427	49	49	10	0			Trigger factor
436	49	49	10	0			3-deoxy-manno-octulosonate-8-phosphatase kdsc
437	49	49	10	0			Yggs family pyridoxal phosphate-dependent enzyme
438	49	49	10	0			Translational gtpase typa
440	49	49	10	0			16s rrna (guanine(1207)-n(2))-methyltransferase rsmc
443	49	50	10	0			Imidazole glycerol phosphate synthase subunit hish
444	49	49	10	0			1-(5-phosphoribosyl)-5-
454	49	49	10	0			Valine--trna ligase
460	49	49	10	0			Ribonuclease r
464	49	49	10	0			Udp-n-acetylmuramoyl-l-alanyl-d-glutamate--2,6-diaminopimelate ligase
465	49	49	10	0			Udp-n-acetylmuramoyl-tripeptide--d-alanyl-d-alanine ligase
467	49	49	10	0			Udp-n-acetylmuramoyl-l-alanine--d-glutamate ligase
468	49	49	10	0			Cell division protein ftsw
475	49	49	10	0			Dna repair protein recn
477	49	49	10	0			Ribonuclease ph
478	49	49	10	0			Yicc family protein
479	49	49	10	0			Trna-modifying protein ygfz
483	49	49	10	0			Bifunctional 23s rrna (guanine(2069)-n(7))-methyltransferase rlmk/23s rrna (guanine(2445)-n(2))-methyltransferase rlml
496	49	49	10	0			Trna pseudouridine(55) synthase trub
527	49	49	10	0			Aspartate--trna ligase
529	49	49	10	0			Protease htpx
533	49	49	10	0			Bifunctional chorismate mutase/prephenate dehydratase
543	49	49	10	0			Threonine--trna ligase
547	49	54	10	0			Thioredoxin-disulfide reductase
550	49	49	10	0			Tetraacyldisaccharide 4'-kinase
564	49	49	10	0			Peptide chain release factor 1
568	49	49	10	0			Shikimate dehydrogenase
569	49	49	10	0			Holliday junction branch migration dna helicase ruvb
570	49	49	10	0			Holliday junction branch migration protein ruva
573	49	49	10	0			Thiamine-phosphate kinase
576	49	49	10	0			Peptidoglycan glycosyltransferase/peptidoglycan dd-transpeptidase mrca
581	49	49	10	0			Permease-like cell division protein ftsx
587	49	49	10	0			Phosphoglycerate kinase
595	49	49	10	0			Dna helicase rep
604	49	49	10	0			Cysteine--trna ligase
622	49	49	10	0			Trna 2-thiocytidine(32) synthetase ttca
623	49	49	10	0			Bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-o-methyltransferase ubig
626	49	49	10	0			Abc transporter atp-binding protein
627	49	49	10	0			Trna cyclic n6-threonylcarbamoyladenosine(37) synthase tcda
628	49	49	10	0			Nucleotide 5'-monophosphate nucleosidase ppnn
629	49	49	10	0			Leucyl aminopeptidase
630	49	49	10	0			Lps export abc transporter permease lptf
632	49	49	10	0			Dna polymerase iii subunit alpha
633	49	49	10	0			Lipid iv(a) 3-deoxy-d-manno-octulosonic acid transferase
634	49	49	10	0			Pantetheine-phosphate adenylyltransferase
635	49	49	10	0			Oligoribonuclease
642	49	49	10	0			Hydroxymethylbilane synthase
645	49	49	10	0			Peptidylprolyl isomerase
649	49	49	10	0			Trna pseudouridine(38-40) synthase trua
650	49	49	10	0			Dna topoisomerase iv subunit b
652	49	49	10	0			Dihydroneopterin aldolase
655	49	49	10	0			Rnfh family protein
672	49	49	10	0			Protein translocase subunit secd
679	49	54	10	0			Long-chain-fatty-acid--coa ligase fadd
682	49	49	10	0			1-deoxy-d-xylulose-5-phosphate reductoisomerase
684	49	49	10	0			Glutamyl-trna reductase
689	49	49	10	0			Nadph-dependent 7-cyano-7-deazaguanine reductase quef
690	49	49	10	0			Anhydro-n-acetylmuramic acid kinase
703	49	49	10	0			Endonuclease iii
707	49	49	10	0			Dna repair protein rada
709	49	50	10	0			Type ii secretion system f family protein
712	49	49	10	0			Dna polymerase iii subunit delta
713	49	49	10	0			Leucine--trna ligase
716	49	49	10	0			Bifunctional indole-3-glycerol-phosphate synthase trpc/phosphoribosylanthranilate isomerase trpf
721	49	56	10	0			Outer membrane protein assembly factor bama
722	49	49	10	0			Sigma e protease regulator rsep
723	49	49	10	0			Phosphatidate cytidylyltransferase
729	49	49	10	0			Phosphate regulon sensor histidine kinase phor
730	49	49	10	0			Hydroxyacylglutathione hydrolase
740	49	49	10	0			Dna topoisomerase iv subunit a
743	49	49	10	0			Imp dehydrogenase
744	49	49	10	0			Glutamine-hydrolyzing gmp synthase
747	49	49	10	0			Bifunctional udp-n-acetylglucosamine diphosphorylase/glucosamine-1-phosphate n-acetyltransferase glmu
754	49	49	10	0			Replicative dna helicase
759	49	49	10	0			Phenylalanine--trna ligase subunit beta
763	49	49	10	0			(d)cmp kinase
775	49	49	10	0			2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase
776	49	49	10	0			2-oxoglutarate dehydrogenase e1 component
781	49	49	10	0			Rdgb/ham1 family non-canonical purine ntp pyrophosphatase
797	49	49	10	0			Dna polymerase i
798	49	49	10	0			Outer membrane lipoprotein chaperone lola
799	49	49	10	0			Monofunctional biosynthetic peptidoglycan transglycosylase
806	49	49	10	0			Exodeoxyribonuclease i
814	49	49	10	0			Acetyl-coa carboxylase, carboxyltransferase subunit beta
815	49	49	10	0			Bifunctional tetrahydrofolate synthase/dihydrofolate synthase
817	49	49	10	0			Molybdopterin synthase catalytic subunit moae
826	49	49	10	0			Trna guanosine(34) transglycosylase tgt
833	49	49	10	0			Chorismate synthase
846	49	49	10	0			Bis(5'-nucleosyl)-tetraphosphatase (symmetrical) apah
850	49	49	10	0			Alanine--trna ligase
853	49	49	10	0			3-phosphoserine/phosphohydroxythreonine transaminase
859	49	49	10	0			4-hydroxy-tetrahydrodipicolinate reductase
873	49	49	10	0			Ribonuclease d
878	49	49	10	0			Glutamine--trna ligase
882	49	49	10	0			Dna topoisomerase (atp-hydrolyzing) subunit b
885	49	49	10	0			Adenylosuccinate lyase
898	49	49	10	0			Dna repair protein reco
927	49	49	10	0			Argininosuccinate synthase
932	49	49	10	0			(2e,6e)-farnesyl diphosphate synthase
935	49	49	10	0			Replication-associated recombination protein a
947	49	49	10	0			Bifunctional
955	49	49	10	0			Abc transporter atp-binding protein
967	49	49	10	0			Chaperonin groel
979	49	49	10	0			Outer membrane protein assembly factor bamd
991	49	49	10	0			Nudix hydrolase
1003	49	49	10	0			Uracil-dna glycosylase
1006	49	49	10	0			Cnnm family magnesium/cobalt transport protein corc
1010	49	49	10	0			Bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase ribd
1015	49	49	10	0			Phoh family protein
1016	49	49	10	0			Disulfide bond formation protein dsbb
1025	49	49	10	0			16s rrna pseudouridine(516) synthase rsua
1030	49	49	10	0			Bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/imp cyclohydrolase
1064	49	49	10	0			Exodeoxyribonuclease v subunit alpha
1071	49	49	10	0			N-acetyl-gamma-glutamyl-phosphate reductase
1076	49	49	10	0			Primosomal protein n'
1078	49	49	10	0			7-cyano-7-deazaguanine synthase quec
1085	49	52	10	0			Protein-disulfide reductase dsbd
1097	49	49	10	0			2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
1112	49	49	10	0			Phosphoribosylamine--glycine ligase
1114	49	49	10	0			Nad-dependent dna ligase liga
1118	49	49	10	0			Dna helicase ii
1131	49	49	10	0			Trna (adenosine(37)-n6)-dimethylallyltransferase miaa
1141	49	49	10	0			Phospholipid abc transporter atp-binding protein mlaf
1142	49	49	10	0			1-deoxy-d-xylulose-5-phosphate synthase
1145	49	49	10	0			Ribosome biogenesis gtpase der
1154	49	49	10	0			Trna preq1(34) s-adenosylmethionine ribosyltransferase-isomerase quea
1155	49	49	10	0			Trna (adenosine(37)-n6)-threonylcarbamoyltransferase complex dimerization subunit type 1 tsab
1159	49	49	10	0			Translation elongation factor 4
1160	49	49	10	0			Exodeoxyribonuclease vii large subunit
1167	49	49	10	0			Lipoprotein-releasing abc transporter atp-binding protein lold
1168	49	49	10	0			2-octaprenyl-6-methoxyphenyl hydroxylase
1169	49	49	10	0			4-(cytidine 5'-diphospho)-2-c-methyl-d-erythritol kinase
1173	49	49	10	0			Lipoyl synthase
1184	49	54	10	0			Murein dd-endopeptidase mepm
2207	49	49	10	0			Scp2 sterol-binding domain-containing protein
2228	49	49	10	0			Murein transglycosylase
2269	49	49	10	0			Phospholipid-binding protein mlac
19	48	48	10	0			Gtpase era
30	48	48	10	0			Ribosome maturation factor rimm
37	48	49	10	0			Phosphopyruvate hydratase
53	48	48	10	0			Tetratricopeptide repeat protein
54	48	48	10	0			Histidine--trna ligase
55	48	48	10	0			Flavodoxin-dependent (e)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase
72	48	48	10	0			Small ribosomal subunit biogenesis gtpase rsga
75	48	48	10	0			Yeca family protein
80	48	48	10	0			16s rrna (cytidine(1402)-2'-o)-methyltransferase
82	48	48	10	0			Yran family protein
86	48	48	10	0			Pyrroline-5-carboxylate reductase
97	48	48	10	0			23s rrna (guanosine(2251)-2'-o)-methyltransferase rlmb
107	48	48	10	0			Phosphoglucosamine mutase
112	48	54	10	0			Dtdp-glucose 4,6-dehydratase
117	48	48	10	0			Bifunctional gtp diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase
130	48	48	10	0			Twin-arginine translocase subunit tatc
132	48	48	10	0			Bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase ubie
139	48	48	10	0			Octaprenyl diphosphate synthase
143	48	48	10	0			Bifunctional dna-formamidopyrimidine glycosylase/dna-(apurinic or apyrimidinic site) lyase
144	48	48	10	0			D-aminoacyl-trna deacylase
172	48	53	10	0			Tyrosine--trna ligase
209	48	50	10	0			Signal peptidase ii
226	48	48	10	0			Acetyl-coa carboxylase biotin carboxyl carrier protein
227	48	48	10	0			Acetyl-coa carboxylase biotin carboxylase subunit
248	48	51	10	0			Class ii fumarate hydratase
254	48	48	10	0			50s ribosomal protein l11 methyltransferase
263	48	48	10	0			Impact family protein
275	48	48	10	0			Dna mismatch repair protein muts
277	48	48	10	0			Trna lysidine(34) synthetase tils
284	48	48	10	0			F0f1 atp synthase subunit gamma
288	48	48	10	0			F0f1 atp synthase subunit a
289	48	48	10	0			16s rrna (guanine(527)-n(7))-methyltransferase rsmg
303	48	48	10	0			16s rrna (cytosine(967)-c(5))-methyltransferase rsmb
308	48	48	10	0			Phosphoribosylformylglycinamidine synthase
319	48	48	10	0			Glutamine--fructose-6-phosphate transaminase (isomerizing)
328	48	48	10	0			Slyx family protein
331	48	48	10	0			Signal recognition particle protein
349	48	48	10	0			50s ribosomal protein l1
356	48	48	10	0			Dna polymerase iii subunit delta'
357	48	48	10	0			Dtmp kinase
358	48	48	10	0			Endolytic transglycosylase mltg
373	48	54	10	0			Dna starvation/stationary phase protection protein
382	48	48	10	0			Molecular chaperone dnaj
383	48	48	10	0			Molecular chaperone dnak
384	48	48	10	0			Phospholipid-binding lipoprotein mlaa
385	48	48	10	0			L-alanyl-gamma-d-glutamyl-meso-diaminopimelate ligase
389	48	48	10	0			Ketol-acid reductoisomerase
391	48	48	10	0			Histidinol dehydrogenase
404	48	48	10	0			Trna (guanosine(46)-n7)-methyltransferase trmb
413	48	48	10	0			Ribulose-phosphate 3-epimerase
419	48	48	10	0			Triose-phosphate isomerase
422	48	48	10	0			Helix-hairpin-helix domain-containing protein
439	48	48	10	0			Ribosomal protein s18-alanine n-acetyltransferase
442	48	48	10	0			Bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase hisb
445	48	48	10	0			Imidazole glycerol phosphate synthase subunit hisf
448	48	48	10	0			Ribosome-associated heat shock protein hsp15
462	48	48	10	0			16s rrna (cytosine(1402)-n(4))-methyltransferase rsmh
470	48	48	10	0			Udp-n-acetylmuramate--l-alanine ligase
474	48	48	10	0			Udp-3-o-acyl-n-acetylglucosamine deacetylase
476	48	48	10	0			Glutamate--trna ligase
484	48	48	10	0			Trna (uridine(34)/cytosine(34)/5-carboxymethylaminomethyluridine(34)-2'-o)-methyltransferase trml
487	48	48	10	0			Methionine adenosyltransferase
489	48	48	10	0			Ftsh protease activity modulator hflk
490	48	48	10	0			Protease modulator hflc
493	48	48	10	0			Transcription termination factor nusa
494	48	48	10	0			Translation initiation factor if-2
507	48	48	10	0			Rna-binding transcriptional accessory protein
510	48	48	10	0			Nad(p)h nitroreductase
523	48	48	10	0			Udp-n-acetylglucosamine 1-carboxyvinyltransferase
528	48	48	10	0			Dna polymerase iv
541	48	48	10	0			Tatd family hydrolase
552	48	51	10	0			Atp-dependent protease atp-binding subunit clpx
563	48	48	10	0			Peptide chain release factor n(5)-glutamine methyltransferase
566	48	48	10	0			Recombination regulator recx
567	48	48	10	0			L-threonylcarbamoyladenylate synthase type 1 tsac
575	48	48	10	0			Dna uptake porin hofq
578	48	48	10	0			3-dehydroquinate synthase
584	48	48	10	0			16s rrna (guanine(966)-n(2))-methyltransferase rsmd
586	48	48	10	0			Phosphoribosylformylglycinamidine cyclo-ligase
615	48	48	10	0			Lipopolysaccharide transport periplasmic protein lpta
631	48	48	10	0			Lps export abc transporter permease lptg
643	48	48	10	0			Uroporphyrinogen-iii synthase
647	48	48	10	0			Iron-sulfur cluster carrier protein apbc
653	48	48	10	0			Atp-dependent chaperone clpb
656	48	48	10	0			Type ii toxin-antitoxin system rata family toxin
659	48	49	10	0			Molybdate abc transporter substrate-binding protein
661	48	48	10	0			Abc transporter atp-binding protein
670	48	49	10	0			Nad(p)/fad-dependent oxidoreductase
671	48	48	10	0			Protein translocase subunit secf
674	48	48	10	0			Peptide chain release factor 2
681	48	48	10	0			Radical sam family heme chaperone hemw
683	48	48	10	0			Gtp diphosphokinase
702	48	48	10	0			Multifunctional cca addition/repair protein
710	48	48	10	0			Dephospho-coa kinase
714	48	48	10	0			Serine--trna ligase
718	48	48	10	0			Acyl-acp--udp-n-acetylglucosamine o-acyltransferase
720	48	48	10	0			Udp-3-o-(3-hydroxymyristoyl)glucosamine n-acyltransferase
732	48	48	10	0			2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase
750	48	48	10	0			Atp-dependent zinc metalloprotease ftsh
752	48	48	10	0			3-phosphoshikimate 1-carboxyvinyltransferase
771	48	48	10	0			Dna internalization-related competence protein comec/rec2
778	48	49	10	0			Bifunctional protein-disulfide isomerase/oxidoreductase dsbc
779	48	48	10	0			Single-stranded-dna-specific exonuclease recj
787	48	48	10	0			Peptidoglycan editing factor pgef
801	48	48	10	0			5-(carboxyamino)imidazole ribonucleotide synthase
804	48	48	10	0			Clpxp protease specificity-enhancing factor
808	48	48	10	0			Excinuclease abc subunit b
819	48	50	10	0			Cyclic pyranopterin monophosphate synthase moac
821	48	48	10	0			Bifunctional uridylyltransferase/uridylyl-removing protein glnd
824	48	48	10	0			Exopolyphosphatase
829	48	48	10	0			Metalloprotease pmba
854	48	48	10	0			Citrate synthase
856	48	51	10	0			Bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
858	48	48	10	0			23s rrna (cytidine(2498)-2'-o)-methyltransferase rlmm
877	48	48	10	0			Type i dna topoisomerase
883	48	48	10	0			4-hydroxybenzoate octaprenyltransferase
886	48	48	10	0			High frequency lysogenization protein hfld
887	48	48	10	0			Autotransporter assembly complex protein tama
924	48	48	10	0			Amidophosphoribosyltransferase
944	48	48	10	0			Phosphoenolpyruvate carboxylase
945	48	48	10	0			Lps assembly protein lptd
946	48	52	10	0			Oxygen-independent coproporphyrinogen iii oxidase
961	48	48	10	0			Tol-pal system beta propeller repeat protein tolb
970	48	48	10	0			Preprotein translocase subunit seca
971	48	48	10	0			Transcriptional regulator bola
972	48	48	10	0			16s rrna (uracil(1498)-n(3))-methyltransferase
973	48	48	10	0			Yqge/algh family protein
978	48	48	10	0			23s rrna pseudouridine(1911/1915/1917) synthase rlud
980	48	48	10	0			Trna (adenosine(37)-n6)-threonylcarbamoyltransferase complex transferase subunit tsad
997	48	48	10	0			Mate family efflux transporter
1000	48	48	10	0			Nucleotide exchange factor grpe
1001	48	48	10	0			Atp-dependent rna helicase hrpa
1017	48	48	10	0			Orotate phosphoribosyltransferase
